Seller Order,ProductCount
1,100000
2,0
3,2000
4,123
5,1000
6,28
7,4000
8,3000
9,133
10,3000
11,4000
12,1000
13,4000
14,1000
15,919
16,349
17,60000
18,20000
19,1000
20,0
21,123
22,0
23,40000
24,100000
25,3000
26,2000
27,60000
28,0
29,1000
30,0
31,1000
32,80000
33,0
34,100000
35,42
36,10000
37,50000
38,10000
39,8000
40,3000
41,302
42,2000
43,6000
44,2000
45,569
46,964
47,627
48,20000
49,20000
50,20000
51,6000
52,1000
53,6000
54,8000
55,5000
56,60
57,4000
58,21
59,510
60,806
61,2000
62,516
63,779
64,10000
65,139
66,579
67,144
68,450
69,10000
70,4000
71,3000
72,2000
73,10000
74,693
75,10000
76,1000
77,155
78,3000
79,495
80,8000
81,3000
82,4000
83,2000
84,2000
85,299
86,681
87,136
88,30000
89,2000
90,121
91,319
92,1000
93,20000
94,7000
95,1000
96,212
97,3000
98,4000
99,40
100,0
101,7000
102,20000
103,638
104,1000
105,10000
106,10000
107,1000
108,60000
109,274
110,9000
111,1000
112,10000
113,130
114,315
115,38
116,2000
117,919
118,2000
119,2000
120,20000
121,97
122,5000
123,3000
124,688
125,890
126,50000
127,15
128,2000
129,5000
130,34
131,1000
132,444
133,7000
134,3000
135,7000
136,1000
137,259
138,2000
139,3000
140,702
141,116
142,443
143,160
144,233
145,2000
146,119
147,95
148,30000
149,2000
150,1000
151,76
152,35
153,2000
154,2000
155,310
156,769
157,680
158,2000
159,4000
160,59
161,651
162,491
163,174
164,47
165,198
166,764
167,10000
168,233
169,63
170,422
171,479
172,6000
173,444
174,1000
175,2000
176,89
177,1000
178,898
179,30000
180,4000
181,1000
182,558
183,181
184,60
185,2000
186,100000
187,1000
188,403
189,20000
190,655
191,0
192,20
193,4000
194,1000
195,155
196,20000
197,1000
198,10000
199,62
200,458
201,703
202,315
203,20000
204,10000
205,1000
206,3000
207,7000
208,115
209,836
210,2000
211,10000
212,3000
213,561
214,84
215,2000
216,3
217,10000
218,3000
219,2000
220,4000
221,1000
222,3000
223,1000
224,636
225,431
226,30000
227,261
228,20000
229,73
230,249
231,2000
232,797
233,1000
234,225
235,30
236,20000
237,80
238,1000
239,1000
240,6000
241,826
242,1000
243,7000
244,625
245,1000
246,878
247,0
248,317
249,20000
250,10000
251,420
252,1000
253,4000
254,4000
255,2000
256,1000
257,8000
258,3000
259,350
260,1000
261,4
262,261
263,7000
264,199
265,3000
266,552
267,1000
268,6000
269,1000
270,24
271,835
272,138
273,1000
274,5000
275,1000
276,935
277,70000
278,2000
279,4000
280,202
281,4000
282,10000
283,2000
284,352
285,6000
286,47
287,20000
288,4000
289,9000
290,6000
291,2000
292,5000
293,10000
294,20000
295,317
296,7000
297,20000
298,5000
299,415
300,2000
301,3000
302,96
303,30000
304,7000
305,7000
306,20000
307,561
308,10000
309,585
310,1000
311,730
312,10000
313,50000
314,493
315,20000
316,7000
317,98
318,4000
319,30000
320,10000
321,3000
322,7000
323,30000
324,1000
325,8000
326,2000
327,20000
328,7000
329,2000
330,40
331,368
332,3000
333,10000
334,2000
335,518
336,50000
337,50000
338,482
339,1000
340,4000
341,219
342,59
343,883
344,4000
345,1000
346,20000
347,6000
348,40000
349,9000
350,5000
351,10000
352,1000
353,4000
354,8000
355,5000
356,10000
357,30000
358,9000
359,1000
360,5000
361,2000
362,8000
363,221
364,3000
365,829
366,1000
367,2000
368,4000
369,1000
370,5000
371,4000
372,6000
373,3000
374,1000
375,80000
376,3000
377,420
378,1000
379,10000
380,0
381,10000
382,2000
383,681
384,10000
385,3000
386,291
387,10000
388,6000
389,10000
390,265
391,83
392,1000
393,3000
394,2000
395,8000
396,7000
397,10000
398,7000
399,389
400,189
401,40000
402,6000
403,5000
404,1000
405,2000
406,1000
407,3000
408,75
409,4000
410,1000
411,10000
412,8000
413,1000
414,4000
415,3000
416,10000
417,1000
418,2000
419,134
420,865
421,2000
422,380
423,1000
424,10000
425,328
426,2000
427,1000
428,1000
429,3000
430,0
431,165
432,9000
433,890
434,10000
435,365
436,1000
437,912
438,8000
439,423
440,20000
441,3000
442,346
443,9000
444,8000
445,100000
446,100000
447,672
448,8000
449,5000
450,1000
451,2000
452,239
453,10000
454,6000
455,3000
456,7000
457,10000
458,249
459,5000
460,1000
461,80000
462,386
463,112
464,7000
465,1000
466,2000
467,10000
468,5000
469,5000
470,50000
471,9000
472,161
473,1000
474,282
475,754
476,69
477,8000
478,2000
479,668
480,10000
481,30000
482,3000
483,2000
484,479
485,3000
486,5000
487,0
488,3000
489,601
490,3000
491,3000
492,378
493,996
494,3000
495,0
496,100000
497,0
498,768
499,1000
500,1000
501,816
502,0
503,0
504,741
505,0
506,1000
507,0
508,3000
509,9000
510,0
511,0
512,0
513,0
514,0
515,901
516,0
517,2000
518,639
519,0
520,0
521,2000
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,887
530,0
531,61
532,0
533,0
534,2000
535,0
536,470
537,3000
538,22
539,9000
540,3000
541,921
542,10000
543,1000
544,0
545,2000
546,1000
547,5000
548,0
549,0
550,0
551,0
552,0
553,34
554,0
555,6000
556,0
557,0
558,0
559,0
560,0
561,10000
562,118
563,79
564,0
565,5000
566,10000
567,0
568,3000
569,0
570,0
571,0
572,1000
573,1000
574,0
575,0
576,236
577,0
578,0
579,0
580,0
581,96
582,0
583,0
584,952
585,0
586,5000
587,1000
588,6000
589,2000
590,0
591,3000
592,113
593,0
594,0
595,8000
596,477
597,7000
598,1000
599,0
600,6000
601,30000
602,1000
603,2000
604,5000
605,0
606,50000
607,10000
608,0
609,0
610,0
611,0
612,5000
613,0
614,0
615,0
616,4000
617,2000
618,0
619,0
620,0
621,6000
622,1000
623,10000
624,0
625,0
626,8000
627,104
628,244
629,0
630,1000
631,2000
632,0
633,0
634,2000
635,0
636,45
637,0
638,0
639,292
640,0
641,0
642,9000
643,212
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,261
656,0
657,50000
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,596
666,1000
667,0
668,954
669,0
670,0
671,0
672,0
673,6000
674,0
675,0
676,0
677,0
678,0
679,30000
680,276
681,0
682,0
683,1000
684,2000
685,0
686,1000
687,258
688,187
689,7000
690,0
691,2000
692,302
693,0
694,2000
695,134
696,0
697,803
698,0
699,0
700,398
701,40000
702,937
703,0
704,0
705,2000
706,0
707,5000
708,0
709,0
710,0
711,0
712,0
713,200000
714,219
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,3000
724,1000
725,0
726,0
727,40000
728,552
729,0
730,35
731,0
732,0
733,3000
734,0
735,0
736,0
737,5000
738,0
739,0
740,430
741,0
742,0
743,0
744,516
745,609
746,0
747,0
748,0
749,39
750,1000
751,0
752,5000
753,0
754,10000
755,80
756,20000
757,0
758,0
759,181
760,1000
761,0
762,2000
763,403
764,0
765,0
766,3000
767,10000
768,388
769,2000
770,40000
771,30000
772,0
773,50000
774,0
775,0
776,40000
777,4000
778,6000
779,490
780,725
781,6000
782,371
783,10000
784,0
785,65
786,529
787,6000
788,112
789,69
790,5000
791,3000
792,761
793,72
794,63
795,40000
796,2000
797,127
798,8
799,2000
800,200
801,20000
802,1000
803,3000
804,3000
805,7000
806,6000
807,2000
808,0
809,3000
810,0
811,254
812,594
813,248
814,27
815,2000
816,3000
817,383
818,10000
819,263
820,10000
821,10000
822,3000
823,355
824,667
825,35
826,17
827,78
828,31
829,1000
830,3000
831,1000
832,10000
833,5000
834,982
835,854
836,0
837,125
838,2000
839,231
840,0
841,10000
842,96
843,8000
844,3000
845,3000
846,2000
847,2000
848,827
849,20000
850,59
851,2000
852,541
853,364
854,82
855,5000
856,1000
857,911
858,646
859,462
860,0
861,836
862,235
863,6000
864,835
865,995
866,73
867,10000
868,1000
869,85
870,0
871,797
872,90
873,30000
874,7000
875,3000
876,0
877,10000
878,694
879,0
880,12
881,9
882,786
883,4000
884,71
885,30000
886,1000
887,3000
888,79
889,5000
890,0
891,2000
892,10000
893,2000
894,702
895,491
896,1000
897,7000
898,86
899,472
900,0
901,42
902,2000
903,1000
904,1000
905,455
906,1000
907,3000
908,720
909,4000
910,7000
911,95
912,597
913,227
914,226
915,151
916,50000
917,59
918,2000
919,4000
920,26
921,91
922,2000
923,400
924,393
925,542
926,6000
927,0
928,78
929,3000
930,1000
931,1000
932,3000
933,50000
934,694
935,1000
936,938
937,1000
938,20000
939,333
940,7000
941,105
942,362
943,3000
944,50000
945,10000
946,2000
947,817
948,10000
949,1000
950,3000
951,806
952,2000
953,10000
954,4000
955,556
956,1000
957,36
958,365
959,357
960,2000
961,30000
962,94
963,10000
964,2000
965,1000
966,873
967,10000
968,10000
969,40000
970,78
971,80000
972,0
973,10000
974,8000
975,2000
976,10000
977,38
978,58
979,574
980,8000
981,2000
982,2000
983,1000
984,1000
985,598
986,100000
987,4000
988,1000
989,2000
990,9000
991,3000
992,1000
993,3000
994,871
995,6000
996,1000
997,5000
998,734
999,5
1000,59
1001,981
1002,504
1003,1000
1004,2000
1005,4000
1006,3000
1007,4000
1008,60000
1009,987
1010,313
1011,10000
1012,4000
1013,4000
1014,10000
1015,30000
1016,390
1017,4000
1018,2000
1019,598
1020,20000
1021,6000
1022,1000
1023,719
1024,796
1025,10000
1026,922
1027,295
1028,9000
1029,112
1030,22
1031,30000
1032,1000
1033,2000
1034,10000
1035,1000
1036,5000
1037,4000
1038,1000
1039,69
1040,1000
1041,8000
1042,8000
1043,93
1044,3000
1045,1000
1046,10000
1047,3000
1048,1000
1049,936
1050,223
1051,107
1052,5000
1053,681
1054,2000
1055,10000
1056,10000
1057,27
1058,519
1059,10000
1060,2000
1061,9000
1062,4000
1063,5000
1064,1000
1065,1000
1066,548
1067,6000
1068,1000
1069,744
1070,2000
1071,9000
1072,0
1073,1000
1074,1000
1075,0
1076,0
1077,156
1078,0
1079,0
1080,0
1081,10000
